,T0,T1,T2,A_0
T0,-0.64,-1.0,0.04,0.01
T1,0.0,-2.08,-0.09,-0.46
T2,0.47,0.53,-2.18,-1.28
A_0,-0.11,-0.56,-0.34,-2.24
