,T0,T1,T2,B_2
T0,-0.67,-1.17,0.21,0.2
T1,0.01,-2.13,0.07,-0.0
T2,0.27,0.41,-2.16,-0.0
B_2,-0.12,0.3,-0.11,-1.55
