,T0,T1,T2,E_1
T0,-0.73,-0.87,0.33,0.77
T1,-0.15,-2.07,-0.0,-0.0
T2,-0.0,0.49,-2.16,0.78
E_1,-0.3,-0.4,-0.06,-2.21
