,TP53 (M),RB1 (M),RB1/13q (Del),EGFR/7p (Amp)
TP53 (M),-0.3,0.0,-0.03,-0.02
RB1 (M),1.02,-3.77,0.0,0.12
RB1/13q (Del),-0.38,-0.0,-1.05,-0.17
EGFR/7p (Amp),-0.01,0.0,-0.11,-0.83
