,TP53 (M),RB1 (M),RB1/13q (Del),BRAF (M)
TP53 (M),-0.31,0.0,-0.0,-0.11
RB1 (M),1.05,-3.73,0.0,-0.35
RB1/13q (Del),-0.44,0.0,-1.06,-0.24
BRAF (M),-1.61,-0.05,-1.09,-2.41
