,TP53 (M),RB1 (M),RB1/13q (Del),KRAS (M)
TP53 (M),-0.05,0.0,-0.0,-0.86
RB1 (M),0.92,-3.46,-0.0,-0.85
RB1/13q (Del),-0.6,-0.0,-0.78,-0.85
KRAS (M),-2.84,-1.14,-1.94,0.12
