,TP53 (M),RB1 (M),RB1/13q (Del),KMT2D (M)
TP53 (M),-0.31,0.0,-0.01,-0.0
RB1 (M),1.06,-3.72,0.0,-1.37
RB1/13q (Del),-0.43,0.0,-1.06,-0.36
KMT2D (M),-0.36,-0.95,-0.62,-3.2
