,TP53 (M),RB1 (M),RB1/13q (Del),NF1 (M)
TP53 (M),-0.31,0.0,-0.02,-0.0
RB1 (M),1.05,-3.73,0.0,-0.18
RB1/13q (Del),-0.41,-0.0,-1.07,-0.27
NF1 (M),-0.33,-0.0,-0.49,-2.58
