,TP53 (M),RB1 (M),RB1/13q (Del),SMARCA4 (M)
TP53 (M),-0.28,0.0,-0.08,-0.3
RB1 (M),1.07,-3.72,-0.0,-0.69
RB1/13q (Del),-0.34,-0.0,-1.06,-0.83
SMARCA4 (M),-1.11,-0.15,-0.7,-2.22
