,TP53 (M),RB1 (M),RB1/13q (Del),EGFR (M)
TP53 (M),-0.24,0.0,-0.06,-0.32
RB1 (M),1.08,-3.77,-0.0,-0.0
RB1/13q (Del),-0.31,-0.0,-1.11,-0.0
EGFR (M),-0.54,-0.0,-0.0,-0.78
