,TP53 (M),RB1 (M),RB1/13q (Del),CDKN2A/9p (Del)
TP53 (M),-0.11,0.0,-0.25,-0.75
RB1 (M),1.1,-3.5,0.09,-1.36
RB1/13q (Del),-0.0,0.0,-1.35,0.45
CDKN2A/9p (Del),-0.62,-1.01,0.0,-0.5
