,TP53 (M),RB1 (M),RB1/13q (Del),MET (M)
TP53 (M),-0.26,0.0,-0.14,-1.14
RB1 (M),1.09,-3.77,-0.0,0.07
RB1/13q (Del),-0.28,-0.0,-1.09,-0.88
MET (M),-0.95,0.0,-0.56,-2.75
