,TP53 (M),RB1 (M),RB1/13q (Del),ARID2 (M)
TP53 (M),-0.31,0.0,-0.01,0.0
RB1 (M),1.05,-3.73,0.0,-0.49
RB1/13q (Del),-0.44,0.0,-1.06,-0.42
ARID2 (M),0.0,-0.1,-0.65,-3.34
