,ATRX (M),SETD2 (M),BCL2/18q (Del),ERBB2 (M)
ATRX (M),-3.4,-0.24,-0.36,-0.34
SETD2 (M),-0.24,-2.98,-0.37,-1.07
BCL2/18q (Del),-0.26,-0.26,-1.06,-0.62
ERBB2 (M),-0.28,-1.01,-0.76,-3.07
