,ATRX (M),SETD2 (M),BCL2/18q (Del),APC (M)
ATRX (M),-3.41,-0.23,-0.35,-0.0
SETD2 (M),-0.24,-2.98,-0.43,-0.27
BCL2/18q (Del),-0.27,-0.2,-1.07,-0.28
APC (M),-0.0,-0.24,-0.42,-3.37
