,ATRX (M),SETD2 (M),BCL2/18q (Del),FAT1 (M)
ATRX (M),-3.47,-0.26,-0.32,0.85
SETD2 (M),-0.2,-2.99,-0.35,-0.38
BCL2/18q (Del),-0.26,-0.26,-1.05,-0.68
FAT1 (M),0.0,-0.24,-0.65,-2.95
