,ATRX (M),SETD2 (M),BCL2/18q (Del),BRAF (M)
ATRX (M),-3.41,-0.27,-0.36,0.0
SETD2 (M),-0.25,-3.0,-0.37,0.0
BCL2/18q (Del),-0.22,-0.11,-1.04,-1.14
BRAF (M),0.45,1.7,-0.82,-2.94
