,ATRX (M),SETD2 (M),BCL2/18q (Del),RBM10 (M)
ATRX (M),-3.41,-0.25,-0.38,-0.0
SETD2 (M),-0.22,-3.0,-0.37,0.0
BCL2/18q (Del),-0.19,-0.2,-1.02,-0.76
RBM10 (M),-0.0,0.0,-0.61,-1.97
