,ATRX (M),SETD2 (M),BCL2/18q (Del),MET (M)
ATRX (M),-3.4,-0.24,-0.36,-0.44
SETD2 (M),-0.24,-2.97,-0.39,-0.87
BCL2/18q (Del),-0.26,-0.24,-1.06,-0.6
MET (M),-0.39,-0.81,-0.76,-2.97
