,ATRX (M),SETD2 (M),BCL2/18q (Del),STK11 (M)
ATRX (M),-3.31,-0.28,-0.49,-0.68
SETD2 (M),-0.22,-2.87,-0.38,-1.72
BCL2/18q (Del),-0.15,-0.34,-0.97,-0.93
STK11 (M),-0.56,-1.61,-1.23,-1.51
