,ATRX (M),SETD2 (M),BCL2/18q (Del),TP53 (M)
ATRX (M),-3.25,-0.25,-0.43,-0.42
SETD2 (M),-0.08,-2.61,-0.61,-1.29
BCL2/18q (Del),-0.1,-0.01,-0.96,-0.36
TP53 (M),-0.32,-0.9,-0.83,-0.15
