,ATRX (M),SETD2 (M),BCL2/18q (Del),CDKN2A/9p (Del)
ATRX (M),-3.25,-0.24,-0.37,-0.63
SETD2 (M),-0.19,-2.8,-0.36,-0.92
BCL2/18q (Del),-0.11,-0.07,-1.16,0.27
CDKN2A/9p (Del),-0.44,-0.68,0.0,-0.7
