,ARID1A (M),KMT2D (M),KMT2C (M),MYC/8q (Amp)
ARID1A (M),-1.88,2.14,-1.64,-1.39
KMT2D (M),-0.0,-1.49,0.01,-2.36
KMT2C (M),0.76,1.65,-2.86,-1.0
MYC/8q (Amp),-1.17,-0.78,-1.41,-0.15
