,ARID1A (M),KMT2D (M),KMT2C (M),TP53 (M)
ARID1A (M),-0.88,-1.42,0.25,-2.0
KMT2D (M),2.25,-1.92,-1.29,-1.01
KMT2C (M),0.15,2.11,-2.71,-0.79
TP53 (M),-1.31,-2.86,-2.58,1.11
