,ARID1A (M),KMT2D (M),KMT2C (M),ATM (M)
ARID1A (M),-2.34,2.33,-0.01,-0.64
KMT2D (M),-0.87,-2.23,2.18,0.61
KMT2C (M),0.72,-0.0,-2.73,0.35
ATM (M),0.68,-0.0,0.0,-2.55
