,ARID1A (M),KMT2D (M),KMT2C (M),FBXW7 (M)
ARID1A (M),-2.3,2.59,-0.0,-1.49
KMT2D (M),-1.22,-2.3,2.22,0.77
KMT2C (M),0.68,-0.0,-2.69,0.0
FBXW7 (M),0.83,-0.19,-0.0,-1.83
