,ARID1A (M),KMT2D (M),KMT2C (M),CTNNB1 (M)
ARID1A (M),-2.25,2.18,-0.39,-0.42
KMT2D (M),-0.04,-2.25,2.01,0.48
KMT2C (M),1.16,-0.0,-2.82,0.21
CTNNB1 (M),0.0,0.0,0.0,-2.34
