,ARID1A (M),KMT2D (M),KMT2C (M),SMAD4/18q (Del)
ARID1A (M),-0.98,-0.0,0.01,-2.8
KMT2D (M),1.22,-1.32,-0.01,-3.05
KMT2C (M),-0.0,1.24,-2.13,-2.29
SMAD4/18q (Del),-1.93,-2.45,-1.68,0.8
