,ARID1A (M),KMT2D (M),KMT2C (M),CREBBP (M)
ARID1A (M),-2.08,-1.64,0.01,2.37
KMT2D (M),2.22,-2.54,-1.64,0.92
KMT2C (M),0.22,2.51,-3.2,-1.33
CREBBP (M),-1.62,1.47,1.44,-2.84
