,ARID1A (M),KMT2D (M),KMT2C (M),APC (M)
ARID1A (M),-1.83,2.16,-0.0,-0.81
KMT2D (M),-0.79,-1.46,2.37,-1.23
KMT2C (M),0.76,-0.05,-2.35,-0.53
APC (M),-2.0,-2.21,-0.86,1.2
