,ARID1A (M),KMT2D (M),KMT2C (M),ASXL1/20q (Amp)
ARID1A (M),-0.94,-0.0,0.01,-3.26
KMT2D (M),1.39,-1.26,-1.05,-3.73
KMT2C (M),-0.06,1.66,-2.3,-2.09
ASXL1/20q (Amp),-1.3,-1.83,-1.17,0.77
