,ARID1A (M),KMT2D (M),KMT2C (M),TP53/17p (Del)
ARID1A (M),-1.54,-0.0,0.92,-1.82
KMT2D (M),1.67,-1.83,-0.11,-2.91
KMT2C (M),-0.58,1.92,-2.58,-1.7
TP53/17p (Del),-2.16,-1.67,-1.32,-0.15
