,ARID1A (M),KMT2D (M),KMT2C (M),B2M (M)
ARID1A (M),-2.03,-1.13,0.0,2.17
KMT2D (M),2.27,-2.47,-0.99,0.0
KMT2C (M),0.31,2.36,-3.19,-1.06
B2M (M),-0.42,2.05,1.02,-3.18
