,ARID1A (M),KMT2D (M),KMT2C (M),FLT3/13q (Amp)
ARID1A (M),-1.18,-0.16,0.28,-2.84
KMT2D (M),1.71,-1.63,-0.89,-2.61
KMT2C (M),-0.12,1.82,-2.49,-1.83
FLT3/13q (Amp),-1.2,-1.97,-1.96,0.37
