,ARID1A (M),KMT2D (M),KMT2C (M),AMER1 (M)
ARID1A (M),-2.26,2.15,-0.71,-0.0
KMT2D (M),-0.0,-2.24,1.92,0.53
KMT2C (M),1.32,0.0,-2.85,-0.0
AMER1 (M),-0.0,0.0,0.64,-2.57
