,ARID1A (M),KMT2D (M),KMT2C (M),RAC1/7p (Amp)
ARID1A (M),-1.85,1.82,-0.08,-1.48
KMT2D (M),0.0,-1.46,0.0,-2.62
KMT2C (M),-0.0,1.88,-2.7,-1.33
RAC1/7p (Amp),-1.52,-1.22,-1.0,-0.09
