,ARID1A (M),KMT2D (M),KMT2C (M),B2M/15q (Del)
ARID1A (M),-2.14,2.17,-0.08,-0.99
KMT2D (M),-0.58,-1.95,2.15,-1.4
KMT2C (M),0.76,-0.01,-2.46,-1.58
B2M/15q (Del),-1.01,-1.26,-0.54,-0.81
