,ARID1A (M),KMT2D (M),KMT2C (M),SMAD4 (M)
ARID1A (M),-2.28,2.21,-0.28,-0.29
KMT2D (M),-0.23,-2.18,2.16,-0.32
KMT2C (M),1.06,-0.01,-2.69,-1.02
SMAD4 (M),-0.96,-0.59,-0.0,-1.88
