,ARID1A (M),KMT2D (M),KMT2C (M),TGFBR2 (M)
ARID1A (M),-1.99,-0.42,0.69,0.98
KMT2D (M),2.21,-2.47,-0.39,-0.01
KMT2C (M),0.0,2.16,-3.11,0.0
TGFBR2 (M),-0.01,1.18,0.01,-2.86
