,ARID1A (M),KMT2D (M),KMT2C (M),KRAS (M)
ARID1A (M),-1.93,2.13,-0.44,-1.03
KMT2D (M),-0.01,-1.92,2.11,-0.84
KMT2C (M),1.21,-0.0,-2.63,-0.48
KRAS (M),-0.88,-1.33,-0.59,-0.07
