,ARID1A (M),KMT2D (M),KMT2C (M),FAT1 (M)
ARID1A (M),-1.99,-0.76,0.01,1.64
KMT2D (M),2.33,-2.46,0.0,-1.4
KMT2C (M),0.38,1.64,-3.17,0.94
FAT1 (M),-0.26,2.61,-1.01,-3.13
