,ARID1A (M),KMT2D (M),KMT2C (M),ID3/1p (Del)
ARID1A (M),-2.04,1.9,-0.0,-1.34
KMT2D (M),0.0,-1.66,-0.0,-2.79
KMT2C (M),-0.0,1.96,-2.87,-1.18
ID3/1p (Del),-1.25,-1.5,-1.32,-0.72
