,ARID1A (M),KMT2D (M),KMT2C (M),PTPRS (M)
ARID1A (M),-2.38,2.5,0.0,-0.75
KMT2D (M),-1.93,-2.3,2.1,1.5
KMT2C (M),0.16,-0.01,-2.8,1.27
PTPRS (M),1.62,0.0,-0.31,-2.56
