,ARID1A (M),KMT2D (M),KMT2C (M),SOX9 (M)
ARID1A (M),-2.28,2.39,-0.0,-1.32
KMT2D (M),-0.63,-2.25,2.16,0.41
KMT2C (M),0.77,-0.0,-2.7,0.0
SOX9 (M),0.62,-0.36,-0.0,-2.01
