,ARID1A (M),KMT2D (M),KMT2C (M),PIK3CA (M)
ARID1A (M),-2.29,2.11,-0.0,-0.09
KMT2D (M),0.0,-2.06,0.0,0.28
KMT2C (M),-0.0,2.14,-3.11,0.0
PIK3CA (M),-0.01,-0.01,0.05,-1.06
