,T0,T1,T2,A_1
T0,-0.8,-1.22,0.0,0.14
T1,0.0,-1.93,-0.12,-0.42
T2,0.28,0.62,-2.1,-1.38
A_1,-0.04,-0.46,-0.12,-2.18
