,T0,T1,T2,B_0
T0,-0.8,-1.01,0.04,-0.01
T1,-0.18,-1.97,-0.0,0.33
T2,0.19,0.57,-2.1,-0.28
B_0,-0.12,0.15,0.0,-1.69
