,T0,T1,T2,E_0
T0,-0.83,-0.85,0.14,0.31
T1,-0.25,-1.91,0.02,-0.06
T2,0.02,0.54,-2.12,0.43
E_0,-0.2,-0.37,0.04,-2.5
