,T0,T1,T2,C_3
T0,-0.88,-0.79,-0.04,0.2
T1,-0.38,-2.07,0.05,0.46
T2,0.18,0.48,-2.11,-0.03
C_3,-1.46,-0.29,0.11,-0.18
