,T0,T1,T2,D_0
T0,-0.83,-1.45,-0.1,0.38
T1,-0.17,-2.11,-0.0,0.81
T2,0.34,0.57,-2.1,-0.52
D_0,-0.1,0.27,0.46,-1.39
