,T0,T1,T2,A_0
T0,-0.87,-0.32,0.0,-0.0
T1,-0.61,-1.5,0.0,-0.0
T2,0.3,0.84,-2.07,-0.18
A_0,-0.24,-0.0,-0.44,-2.66
