,T0,T1,T2,C_2
T0,-0.85,-0.49,0.0,-0.0
T1,-0.45,-1.6,0.0,0.51
T2,0.32,0.77,-2.07,-0.0
C_2,-0.52,0.0,-0.08,-1.69
