,T0,T1,T2,E_3
T0,-0.91,-0.78,0.2,0.64
T1,-0.3,-1.93,-0.03,0.09
T2,-0.17,0.56,-2.15,0.67
E_3,-0.63,-0.42,-0.43,-1.69
