,T0,T1,T2,B_0
T0,-0.81,-1.04,0.12,-0.0
T1,-0.12,-2.0,0.0,0.24
T2,0.13,0.56,-2.1,-0.18
B_0,-0.05,0.2,-0.05,-1.68
