,T0,T1,T2,C_0
T0,-0.8,-1.05,0.03,0.0
T1,-0.09,-2.01,-0.0,0.22
T2,0.21,0.56,-2.11,-0.29
C_0,-0.85,-0.09,0.27,-1.58
