,T0,T1,T2,D_0
T0,-0.86,-1.27,-0.03,0.43
T1,-0.18,-2.1,-0.17,0.71
T2,0.23,0.63,-2.12,-0.22
D_0,-0.1,0.21,0.3,-1.3
