,T0,T1,T2,A_0
T0,-0.82,-0.93,0.15,-0.0
T1,-0.1,-1.92,-0.1,-0.83
T2,0.1,0.63,-2.1,-0.58
A_0,-0.06,-0.0,-0.54,-2.42
