,T0,T1,T2,A_0
T0,-0.84,-1.47,-0.0,0.21
T1,-0.04,-1.92,-0.0,-0.48
T2,0.27,0.6,-2.04,-1.55
A_0,-0.23,-0.43,-0.14,-2.38
