,T0,T1,T2,E_3
T0,-0.92,-0.9,0.08,0.51
T1,-0.41,-1.9,0.0,0.29
T2,-0.04,0.56,-2.11,0.59
E_3,-0.54,-0.72,-0.06,-1.71
