,T0,T1,T2,E_3
T0,-0.84,-0.88,0.18,0.29
T1,-0.25,-1.92,-0.0,-0.0
T2,-0.0,0.54,-2.17,0.4
E_3,-0.06,-0.49,-0.0,-1.85
