,T0,T1,T2,B_2
T0,-0.81,-1.14,0.25,0.01
T1,-0.14,-1.98,0.28,-0.0
T2,0.04,0.32,-2.09,-0.0
B_2,-0.09,0.51,-0.23,-1.62
