,T0,T1,T2,A_1
T0,-0.9,-0.5,0.09,-0.0
T1,-0.22,-1.96,0.0,-0.05
T2,0.11,0.62,-2.13,-0.78
A_1,-0.08,-0.68,-0.35,-2.17
