,ERBB2 (M),SETD2 (M),ARID1A/1p (Del)
ERBB2 (M),-2.91,-0.0,-1.11
SETD2 (M),-0.0,-3.16,-2.03
ARID1A/1p (Del),-1.13,-2.01,-0.92
