,ERBB2 (M),SETD2 (M),PRKD1/14q (Del)
ERBB2 (M),-2.91,-0.0,-1.58
SETD2 (M),-0.0,-3.2,-2.24
PRKD1/14q (Del),-1.58,-2.21,-1.14
